name,price,product_url,브랜드,부위,gender,collaborate,uniform,sport,image_path,prob_cute,prob_hiphop,prob_classic,prob_interview,prob_date(first),prob_maturity,prob_luxury,prob_date,prob_casual,prob_young,prob_sexy,prob_trip,prob_beautiful,prob_lovely,prob_unique,prob_pretty,prob_picnic,prob_pattern,prob_Scary,prob_influencer,prob_work,prob_nice,prob_party,prob_sports,prob_art,predicted_labels
냉감 루트 반집업 반팔 티셔츠 (S25MMRZT60) Dark Charcoal,103550,https://www.musinsa.com/products/4878196,스노우피클 어패럴,top,male,,,,"512_infront.jpg,512_back.jpg",0.113832794,0.119078249,0.51723057,0.077551715,0.154839545,0.08100336,0.107544273,0.203019947,0.431651771,0.108972453,0.090072125,0.128593609,0.13357456,0.093501329,0.164103657,0.096308589,0.232952699,0.156488895,0.11837431,0.072710976,0.070410326,0.131178945,0.116194822,0.145279646,0.093297631,classic
시그니처 로고 아스킨 반팔 티셔츠 BLACK,39000,https://www.musinsa.com/products/3852519,코닥,top,male,,,,"513_infront.jpg,513_back.jpg",0.143207774,0.13875857,0.579431534,0.086848848,0.173526227,0.111898594,0.130858153,0.249774158,0.517392516,0.141774118,0.10823147,0.163032502,0.146179289,0.104275078,0.199120045,0.105922632,0.281826735,0.243365601,0.133900583,0.080603711,0.089871317,0.160527885,0.148930103,0.208150402,0.114445575,"classic,casual"
에어로쿨 스몰로고 반팔 티셔츠 (S25MUFTS76) White,46550,https://www.musinsa.com/products/4781846,스노우피클 어패럴,top,male,,,,"514_infront.jpg,514_back.jpg",0.109234497,0.143608466,0.502416015,0.136120096,0.218928024,0.149810627,0.134136081,0.284142703,0.434208602,0.153790683,0.089299187,0.161086649,0.139068753,0.105058253,0.192110255,0.114346534,0.306635052,0.338652164,0.109371684,0.125905663,0.141194791,0.159182295,0.149997547,0.255707562,0.144628257,classic
T.A.R (티에이알) 남성 러닝 반팔티_Black YMM25251Z1,79000,https://www.musinsa.com/products/4942906,다이나핏,top,male,,,,"515_infront.jpg,515_back.jpg",0.072477296,0.093939938,0.521686971,0.053352974,0.138436258,0.100289255,0.085040532,0.204970866,0.416178763,0.08923424,0.06093375,0.110165887,0.092491478,0.066390783,0.138080567,0.059184004,0.214832723,0.164611027,0.07646171,0.057784729,0.07470683,0.105307244,0.096794389,0.225183696,0.069024749,classic
N255UTS909 세미오버핏 수피마 반팔 티셔츠 CARBON BLACK,39000,https://www.musinsa.com/products/3113942,내셔널지오그래픽,top,male,,,,"517_infront.jpg,517_back.jpg",0.114971139,0.109219544,0.588361323,0.064766459,0.150830612,0.086443737,0.099968329,0.21499382,0.467958331,0.108695813,0.080369577,0.129223213,0.13018778,0.085550174,0.168421254,0.086261526,0.242749885,0.185950369,0.108618438,0.063295484,0.067387611,0.134120494,0.118499577,0.160087585,0.084139295,classic
HERO 남성 메리노울 반팔 라운드 티셔츠 JWTCX25055DGY,128000,https://www.musinsa.com/products/4748036,코오롱스포츠,top,male,,,,"518_infront.jpg,518_back.jpg",0.144977435,0.137846157,0.653338671,0.07642135,0.169934019,0.101165563,0.127564579,0.234798387,0.528675258,0.130501106,0.113569602,0.156762511,0.149490952,0.09589272,0.184171394,0.094603702,0.269059062,0.205938235,0.150531098,0.07121589,0.08253067,0.1526061,0.129603148,0.245323285,0.0938977,"classic,casual"
우먼 러쉬 로고 반팔 티셔츠 (14600165),79000,https://www.musinsa.com/products/4105157,피엘라벤,top,male,,,,"519_infront.jpg,519_back.jpg",0.117269315,0.137365937,0.645880878,0.06292361,0.158467934,0.121684358,0.103182919,0.252905428,0.497163802,0.150386289,0.091807894,0.156394005,0.129182309,0.081997767,0.198470697,0.0782561,0.278585494,0.25811401,0.109696187,0.077149227,0.076886974,0.140518829,0.115999192,0.351689607,0.098363735,classic
국산 쿨론 ROKA 로카 반팔 티셔츠,13900,https://www.musinsa.com/products/4643547,일리브로,top,male,,,,"522_infront.jpg,522_back.jpg",0.105640545,0.114437483,0.597698689,0.053695783,0.147094265,0.098023683,0.105925843,0.221523434,0.480629325,0.115403928,0.072039939,0.127300173,0.117471501,0.073786177,0.169920713,0.06971921,0.248702198,0.169077396,0.112878159,0.065938316,0.079356313,0.133368418,0.117320761,0.232432604,0.085293636,classic
빅로고 아스킨 반팔 티셔츠 BLACK,39000,https://www.musinsa.com/products/3933012,코닥,top,male,,,,"523_infront.jpg,523_back.jpg",0.142628878,0.14071095,0.566098869,0.09379936,0.195525542,0.116762884,0.127137348,0.248123467,0.503351331,0.141879976,0.102013938,0.15083158,0.154669017,0.106816113,0.206727251,0.109468572,0.280863136,0.266509563,0.146946713,0.095996305,0.101903282,0.165110916,0.148583457,0.199034154,0.116022326,"classic,casual"
에어로쿨 우븐 패치 반팔 티셔츠 (S25MMFTS24) Black,65550,https://www.musinsa.com/products/4834584,스노우피클 어패럴,top,male,,,,"524_infront.jpg,524_back.jpg",0.146533012,0.137519479,0.619046509,0.069845557,0.158405125,0.092370801,0.11648494,0.221467644,0.509281337,0.139326006,0.091091722,0.144903794,0.149278536,0.099214725,0.188963816,0.102074198,0.264496326,0.190262944,0.142436102,0.066977948,0.076643236,0.158112243,0.135642439,0.180164188,0.102305993,"classic,casual"
